id;title;author_id;subject_id;content;created_at
17;Economía - Resumen de macroeconomía;17;18;Resumen de los conceptos clave de macroeconomía: PIB, inflación, desempleo, políticas fiscal y monetaria. Incluye gráficos explicativos.;2024-05-08 11:30:00
18;Consulta sobre JOINs en SQL - Base de Datos;18;19;Alguien podría explicarme la diferencia práctica entre INNER JOIN, LEFT JOIN y RIGHT JOIN? Tengo un TP y no sé cuál usar para obtener ciertos datos.;2024-05-10 16:00:00
19;Desarrollo de Software - Metodologías ágiles resumen;19;20;Comparto un cuadro comparativo de metodologías ágiles: Scrum, Kanban, XP. Incluye roles, artefactos y ceremonias. Para el que esté preparando el final.;2024-05-12 08:45:00
20;Comunicación de Datos - Modelo OSI explicado;20;21;Explicación sencilla de las 7 capas del modelo OSI con ejemplos prácticos de cada una. También diferencias con el modelo TCP/IP.;2024-05-15 13:00:00
21;Análisis Numérico - Método de Newton-Raphson;1;22;Alguien tiene implementado el método de Newton-Raphson en Python? Me serviría para comparar con mi código porque no converge bien para ciertas funciones.;2024-05-18 18:30:00
22;Diseño de Sistemas - Patrones de arquitectura;2;23;Resumen de patrones de arquitectura de software: MVC, capas, microkernel, microservicios. Con ejemplos de cuándo usar cada uno.;2024-05-20 10:00:00
23;Consulta sobre el seminario integrador - ¿Cómo elegir tema?;3;24;Hola, estamos por empezar el seminario integrador y no sabemos bien cómo elegir el tema. Alguien que ya lo haya cursado podría dar recomendaciones?;2024-05-22 15:45:00
24;Ayuda con punteros en C - Algoritmos;4;6;Tengo un ejercicio de punteros dobles en C que no me sale. Alguien podría explicarme cómo funciona la aritmética de punteros en arreglos multidimensionales?;2024-05-25 22:00:00
25;Duda sobre herencia en POO - Paradigmas;5;14;No entiendo bien cuándo usar herencia y cuándo composición. Alguien podría dar ejemplos concretos en Java o Python? Gracias!;2024-05-28 12:30:00
26;Duda sobre semáforos en Sistemas Operativos;6;15;Alguien podría explicarme cómo sincronizar productor-consumidor con semáforos? Me pierdo con los valores iniciales de los semáforos.;2024-06-01 09:15:00
27;Comparto proyecto final de Base de Datos - E-commerce;7;19;Les comparto mi proyecto final de BD sobre un e-commerce. Incluye DER, script SQL con 15 tablas y consultas complejas con JOINs y subconsultas.;2024-06-03 14:30:00
28;Ayuda con optimización en Análisis Numérico;8;22;Estoy implementando el método de la secante y necesito optimizarlo para que converja más rápido. Alguien tiene experiencia con variantes del método?;2024-06-05 11:45:00
29;Resumen de Testing - Desarrollo de Software;9;20;Comparto resumen de pruebas de software: unitarias, integración, sistema, aceptación. Incluye herramientas como JUnit y Selenium.;2024-06-07 17:00:00
30;Duda sobre enrutamiento en Redes de Datos;10;21;No entiendo la diferencia entre enrutamiento estático y dinámico. Alguien podría explicar cuándo conviene usar cada uno con ejemplos reales?;2024-06-09 10:00:00
